lecture_id,condition,status,claim_id,reference_claim,ai_lecturenote_output,label,error_type,why_it_matters,gpt4o_ailn_post_output
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr13,"또한 Leukocyte가 막 열심히 일을 하면서 Collateral하게 데미지를 줄 수도 있는데, 이것 때문에 Vascular Permeability가 증가할 수도 있습니다.","endothelial cell contraction으로 인해 histamine과 leukotriene이 생성되고 이로 인해 vascular permeability가 증가할 수 있습니다. 또한 endothelial layer 자체가 injury를 입으면 vascular permeability가 증가할 수도 있습니다. 루코사이트가 활발하게 일하면서 collector를 통해 damage를 줄 수도 있는데, 이로 인해 vascular permeability가 증가할 수 있습니다.",Substitution,"collateral이라는 단어를 ""collertor을 통해""로 변형하여, collateral damage의 본래 의미가 훼손되었습니다.",,
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr14,"어쨌든 결과적으로 Protein Rich한 Fluid가 Vessel 밖으로 새어나가게 되는데, 이것을 저희는 Exudate라고 부릅니다.","이로 인해 protein을 일치하는 fluid가 interstitial space로 새어나가는데, 이를 exudate라고 합니다. exudate와 transudate를 구분해야 하는데, 둘 다 fluid가 interstitial space에 있다는 점에서는 동일하지만, 개념적으로는 다릅니다. exudate는 protein 농도가 높고 specific gravity가 높으며 inflammation이 있습니다. 반면 transudate는 protein 농도가 낮고 hydrostatic pressure로 인해 발생합니다.",Substitution,protein rich의 의미가 'protein을 일치하는'이라는 부적절한 표현으로 변형되었습니다.,,
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr31,"이렇게 전환이 일어나야 rolling에서 Firm Adhesion으로 넘어가게 되고 또 cytokine, TNF나 IL-1이 endothelium에 있는 ICAM-1, VCAM-1의 발현을 올려서 integrin과의 상호작용을 통해 Firm Adhesion이 나타나게 되는 겁니다.","그 다음에 단단한 결합이 이루어지는 것은 Firm Adhesion 단계에서 나타나며, 이는 leukocyte에 발현된 integrin과 endothelium에 발현된 ICAM 또는 VCAM 사이에서 일어납니다. integrin은 처음에는 저친합 상태이지만 chemokine이 leukocyte를 자극하면 Conformational Change가 일어나고 고친합 상태로 변화합니다. 이제 이렇게 전환이 일어나면 Rolling 단계에서 Form Addition으로 넘어가게 되고, cytokine TNF나 IL-1이 endothelium에 있는 ICAM-1, VCAM-1에 발현을 올려서 이 integrin과의 상호작용을 통해 Form Addition이 나타나게 됩니다. … 이 과정은 Form Addition 후 leukocyte가 endothelium junction 사이로 비집고 나가는 과정을 말합니다.",Substitution,"form adhesion이라는 잘못된 표현이 사용되었으며, firm adhesion이 올바른 용어입니다.",,
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr33,이 과정은 Firm Adhesion 후 leukocyte가 endothelial junction 사이로 비집고 나가는 과정입니다.,이 과정은 Form Addition 후 leukocyte가 endothelium junction 사이로 비집고 나가는 과정을 말합니다. … 이들은 leukocyte와 endothelium 양쪽에 모두 존재하여 homophilic binding을 합니다.,Substitution,"form adhesion이라는 잘못된 표현이 사용되었으며, firm adhesion이 올바른 용어입니다.",,
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr38,"이는 Chemotactic gradient를 따라 이동하게 되는데 Chemoattractant, 예를 들어 얘네들도 두 종류가 있는데 이제 Exogenous와 Endogenous가 있는데 Exogenous한 Chemoattractant 같은 경우에는 bacterial product, 예를 들어 N-formylmethionine이 들어있는 peptide라던가 혹은 Endogenous하게는 C5a, 이 보체계의 일부인 C5a나 LT-B4, leukotriene B4라던가 chemokine, IL-8과 같은 이런 물질들이 Chemoattractant의 역할을 하게 됩니다.","Transmigration이 일어난 후에는 chemotaxis가 발생해야 하는데, 이는 leukocyte가 실제 인자 부위로 이동하는 과정을 말합니다. leukocyte는 chemotactic gradient를 따라 이동하며, chemoattractant에 의해 유도됩니다. 예를 들어, 박테리아 프로덕트인 N-formylmethionine이나 C5a, LTB4, leukotriene B4, chemokine, IL-8과 같은 물질들이 chemoattractant 역할을 합니다. 이제 chemoattractant가 leukocyte의 receptor에 결합하면 leukocyte가 해당 방향으로 이동합니다.",omission,endogenous 및 exogenous 유형에 대한 설명이 누락되었습니다.,,
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr39,이제 이 Chemotaxis의 기전은 Chemoattractant가 leukocyte에 있는 receptor에 결합을 하게 되면 이제 actin polymerization 때문에 leukocyte가 그 방향으로 조금씩 이동하게 되는 것입니다.,"leukocyte는 chemotactic gradient를 따라 이동하며, chemoattractant에 의해 유도됩니다. 예를 들어, 박테리아 프로덕트인 N-formylmethionine이나 C5a, LTB4, leukotriene B4, chemokine, IL-8과 같은 물질들이 chemoattractant 역할을 합니다. 이제 chemoattractant가 leukocyte의 receptor에 결합하면 leukocyte가 해당 방향으로 이동합니다. 이후 leukocyte의 activation과 killing에 대해 알아보겠습니다. leukocyte가 실제 사이트에 도착하면 phagocytosis가 발생합니다. 이 과정에서 opsonin이 결합된 pathogen이 receptor에 인식되고, 이후 pseudopod로 감싸인 phagosome을 형성하여 engulf를 진행합니다.",omission,actin polymerization에 대한 내용이 누락되었습니다.,,
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr47,"그 다음에 이제는 oxygen independent 과정이 있는데 이거는 lysozyme, defensin, MBP 혹은 major basic protein 등으로 활용해서 killing하는 과정입니다.","killing은 oxygen-dependent와 oxygen-independent 두 가지 메커니즘으로 이루어집니다. oxygen-dependent에서는 NADPH oxidase가 superoxide를 생성하고, 이로부터 H2O2가 생성됩니다. … oxygen-independent는 lysozyme, defensin, MVP 등을 활용하여 killing을 수행합니다. neutrophil과 macrophage는 leukocyte의 phagocytosis를 담당하는데, neutrophil은 초기 6시간에서 24시간까지 활발하게 활동하며 수명이 짧고 빠르게 작용합니다.",Substitution,MBP를 MVP로 잘못 기재하였습니다.,,
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr65,그리고 leukocytosis가 있는데 얘는 이제 당연히 bone marrow에서 neutrophil 방출을 증가시키게 됩니다.,"이어서 시스템적 영향을 살펴보면, IL-1과 TNF-α가 hypothalamus에서 prostaglandin E2 생성을 유도하여 체온을 높이는 열을 유발하며, acute phase protein은 간에서 CRP나 fibrinogen 생성을 증가시킵니다. leukocytosis는 본말로부터 neutrophil 방출을 증가시키며, left shift는 미성숙한 neutrophil의 증가를 나타냅니다.",Substitution,bone marrow 대신 '본말'이라는 잘못된 표현을 사용하였습니다.,,
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr67,그리고 이제 sepsis까지 갈 수도 있는데 이것은 과도하게 cytokine의 release가 나타나게 되면 앞에서 배웠던 TNF나 아니면 IL-1이 폭주하게 된다면 이 systemic vasodilation 그래서 hypotension 그리고 DIC까지 갈 수 있는 굉장히 위험한 상황이 되겠습니다.,"시스템적인 vasodilation은 사이토카인의 과도한 방출로 인해 TNF나 IL-1이 폭주하면 시스템적인 혈관확장, 고혈압, 그리고 DIC와 같이 매우 위험한 상황으로 이어질 수 있습니다. … 3가지 경우가 있는데, 첫 번째로 inflammation을 제어하고 조직 재생이 일어나 정상적으로 회복되는 resolution 현상이 발생할 수 있습니다.","Polarity error, Omission","sepsis에 대한 언급이 누락되었으며, hypotension을 고혈압으로 오기하였습니다.",,
acuteinflammation_02,ai_lecturenote,confirmed_drift,acu_sr70,마지막으로 chronic inflammation으로 전환이 일어날 수도 있는데 persistent stimulus가 있어가지고 lymphocyte나 macrophage 중심으로 염증 반응이 전환이 되고 granuloma 형성이 일어날 수도 있게 됩니다.,"3가지 경우가 있는데, 첫 번째로 inflammation을 제어하고 조직 재생이 일어나 정상적으로 회복되는 resolution 현상이 발생할 수 있습니다. … 3가지 경우가 있는데, 첫 번째로 inflammation을 제어하고 조직 재생이 일어나 정상적으로 회복되는 resolution 현상이 발생할 수 있습니다. 두 번째로 scarring과 fibrosis가 발생할 수 있는데, 이 경우에는 조직 재생이 어려워져서 연결 조직으로 대체될 수 있습니다. 마지막으로 만성 inflammation으로 전환될 수도 있는데, 지속적인 자극으로 인해 염증 반응이 유지되고, lipocytes나 macrophages를 중심으로 염증 반응이 지속되며, granuloma 형성이 발생할 수 있습니다. 이상으로 오늘의 acute inflammation 강의를 마치도록 하겠습니다.",Substitution,lymphocyte를 lipocytes라는 전혀 다른 세포 유형으로 오기하였습니다.,,
